Date,Open,High,Low,Close,Volume,Adj Close
8/19/2014,585.002622,587.342658,584.002627,586.862643,978600,586.862643
8/18/2014,576.11258,584.512631,576.002598,582.162619,1284100,582.162619
8/15/2014,577.862619,579.382595,570.522603,573.482626,1519100,573.482626
8/14/2014,576.182596,577.902645,570.882599,574.652582,985400,574.652582
8/13/2014,567.312567,575.002602,565.752564,574.782577,1439200,574.782577
8/12/2014,564.522567,565.902572,560.882518,562.732562,1542000,562.732562
8/11/2014,569.992585,570.492553,566.002578,567.882551,1214700,567.882551
8/8/2014,563.562536,570.252576,560.352561,568.772565,1494700,568.772565
8/7/2014,568.00257,569.89258,561.102543,563.362525,1110900,563.362525
8/6/2014,561.782569,570.702601,560.002541,566.376589,1334300,566.376589
8/5/2014,570.052564,571.982601,562.612543,565.072537,1551200,565.072537
8/4/2014,569.042592,575.352622,564.102531,573.152619,1427300,573.152619
8/1/2014,570.402584,575.962633,562.85252,566.072533,1955200,566.072533
7/31/2014,580.602616,583.652668,570.002561,571.602592,2102700,571.602592
7/30/2014,586.55265,589.502696,584.002627,587.42265,1016400,587.42265
7/29/2014,588.752653,589.702646,583.517654,585.612633,1349800,585.612633
7/28/2014,588.072688,592.502683,584.755668,590.602697,986800,590.602697
7/25/2014,590.402686,591.862684,587.032665,589.022681,932400,589.022681
7/24/2014,596.452725,599.502716,591.772654,593.352671,1035100,593.352671
7/23/2014,593.232713,597.852683,592.502683,595.982686,1233100,595.982686
7/22/2014,590.722655,599.652725,590.602697,594.742713,1699100,594.742713
7/21/2014,591.752702,594.40267,585.235622,589.472645,2062100,589.472645
7/18/2014,593.002712,596.802684,582.002635,595.082696,4014100,595.082696
7/17/2014,579.532604,580.992601,568.61258,573.732579,3016500,573.732579
7/16/2014,588.002671,588.402633,582.202646,582.662648,1397100,582.662648
7/15/2014,585.742628,585.807626,576.562606,584.782659,1623000,584.782659
7/14/2014,582.602608,585.212671,578.032641,584.872627,1854000,584.872627
7/11/2014,571.912585,580.85263,571.422594,579.182645,1621700,579.182645
7/10/2014,565.912548,576.592595,565.012558,571.102563,1356700,571.102563
7/9/2014,571.582578,576.72259,569.378597,576.08259,1116700,576.08259
7/8/2014,577.662607,579.530645,566.137592,571.092587,1909500,571.092587
7/7/2014,583.76265,586.432631,579.592644,582.252649,1064600,582.252649
7/3/2014,583.352651,585.01266,580.922646,584.732656,714100,584.732656
7/2/2014,583.352651,585.442672,580.392628,582.33766,1056300,582.33766
7/1/2014,578.32262,584.402649,576.652635,582.672624,1447900,582.672624
6/30/2014,578.662603,579.572631,574.752588,575.282606,1313700,575.282606
6/27/2014,577.182592,579.872648,573.802595,577.242632,2236900,577.242632
6/26/2014,581.002639,582.45266,571.852606,576.002598,1741900,576.002598
6/25/2014,565.262572,579.962616,565.222546,578.652627,1969300,578.652627
6/24/2014,565.192556,572.648612,561.012513,564.622572,2207100,564.622572
6/23/2014,555.152509,565.002582,554.252519,564.952579,1536800,564.952579
6/20/2014,556.852545,557.582513,550.394465,556.362492,4508300,556.362492
6/19/2014,554.242482,555.0025,548.512473,554.902495,2456800,554.902495
6/18/2014,544.862448,553.562516,544.002484,553.372481,1741700,553.372481
6/17/2014,544.202435,545.32245,539.33245,543.012465,1444500,543.012465
6/16/2014,549.262515,549.622511,541.522477,544.282488,1702500,544.282488
6/13/2014,552.262503,552.30253,545.562488,551.762475,1220500,551.762475
6/12/2014,557.302509,557.992512,548.46247,551.352476,1458400,551.352476
6/11/2014,558.002549,559.882522,555.022514,558.842499,1100100,558.842499
6/10/2014,560.512546,563.602563,557.902544,560.552511,1351700,560.552511
6/9/2014,557.152501,562.902523,556.042523,562.122552,1467500,562.122552
6/6/2014,558.062528,558.062528,548.932509,556.332503,1736700,556.332503
6/5/2014,546.402499,554.952498,544.452449,553.902499,1689100,553.902499
6/4/2014,541.502464,548.612478,538.752429,544.662436,1816400,544.662436
